LLP with Faststep
          500000    200000    100000    50000     20000     10000     5000      2000      1000      500       200       100       50        20        10        
0:	0.0000180 0.0000180 0.0000180 0.0000180 0.0000405 0.0000405 0.0000405 0.0000439 0.0000439 0.0000439 0.0000439 0.0000474 0.0000474 0.0000556 0.0000561 
1:	0.0000176 0.0000176 0.0000176 0.0000176 0.0000385 0.0000385 0.0000385 0.0000432 0.0000432 0.0000432 0.0000432 0.0000465 0.0000465 0.0000537 0.0000542 
2:	0.0000177 0.0000177 0.0000177 0.0000177 0.0000389 0.0000389 0.0000389 0.0000433 0.0000433 0.0000433 0.0000433 0.0000467 0.0000467 0.0000536 0.0000541 
3:	0.0000175 0.0000175 0.0000175 0.0000175 0.0000386 0.0000386 0.0000386 0.0000430 0.0000430 0.0000430 0.0000430 0.0000463 0.0000463 0.0000530 0.0000536 
4:	0.0000174 0.0000174 0.0000174 0.0000174 0.0000379 0.0000379 0.0000379 0.0000422 0.0000422 0.0000422 0.0000422 0.0000455 0.0000455 0.0000517 0.0000523 
5:	0.0000170 0.0000170 0.0000170 0.0000170 0.0000370 0.0000370 0.0000370 0.0000413 0.0000413 0.0000413 0.0000413 0.0000444 0.0000444 0.0000508 0.0000513 
6:	0.0000163 0.0000163 0.0000163 0.0000163 0.0000355 0.0000355 0.0000355 0.0000401 0.0000401 0.0000401 0.0000401 0.0000431 0.0000431 0.0000492 0.0000497 
7:	0.0000155 0.0000155 0.0000155 0.0000155 0.0000336 0.0000336 0.0000336 0.0000383 0.0000383 0.0000383 0.0000383 0.0000411 0.0000411 0.0000473 0.0000478 
8:	0.0000143 0.0000143 0.0000143 0.0000143 0.0000308 0.0000308 0.0000308 0.0000353 0.0000353 0.0000353 0.0000353 0.0000378 0.0000378 0.0000437 0.0000441 
9:	0.0000132 0.0000132 0.0000132 0.0000132 0.0000280 0.0000280 0.0000280 0.0000319 0.0000319 0.0000319 0.0000319 0.0000341 0.0000341 0.0000396 0.0000400 
10:	0.0000124 0.0000124 0.0000124 0.0000124 0.0000258 0.0000258 0.0000258 0.0000296 0.0000296 0.0000296 0.0000296 0.0000316 0.0000316 0.0000369 0.0000372 
11:	0.0000117 0.0000117 0.0000117 0.0000117 0.0000243 0.0000243 0.0000243 0.0000281 0.0000281 0.0000281 0.0000281 0.0000300 0.0000300 0.0000354 0.0000365 
LLP with Louvain
          5         4         3         2         1         0         
0:	0.1944010 0.1944140 0.1955920 0.2213980 0.4061900 0.7989790 
1:	0.1744130 0.1744250 0.1755040 0.1999660 0.4059650 0.7433820 
2:	0.1741310 0.1741430 0.1752190 0.1996630 0.4056430 0.7421230 
3:	0.1720270 0.1720390 0.1731020 0.1972850 0.4025540 0.7401510 
4:	0.1682680 0.1682790 0.1693210 0.1929900 0.3954240 0.7402990 
5:	0.1619960 0.1620070 0.1630110 0.1858880 0.3837610 0.7423990 
6:	0.1535440 0.1535540 0.1545070 0.1762440 0.3673080 0.7444800 
7:	0.1430030 0.1430120 0.1439000 0.1642280 0.3460960 0.7460620 
8:	0.1284120 0.1284210 0.1292180 0.1475260 0.3154060 0.7506960 
9:	0.1139370 0.1139450 0.1146530 0.1309550 0.2841780 0.7558120 
10:	0.1021360 0.1021430 0.1027780 0.1174560 0.2587480 0.7627510 
11:	0.0941639 0.0941704 0.0947569 0.1083200 0.2416960 0.7699410 
Faststep with Louvain
          5         4         3         2         1         0         
500000:	0.0195118 0.0195118 0.0195392 0.0214907 0.0225597 0.0116356 
200000:	0.0195118 0.0195118 0.0195392 0.0214907 0.0225597 0.0116356 
100000:	0.0195118 0.0195118 0.0195392 0.0214907 0.0225597 0.0116356 
50000:	0.0195118 0.0195118 0.0195392 0.0214907 0.0225597 0.0116356 
20000:	0.0307137 0.0307137 0.0307293 0.0395294 0.0901109 0.0089448 
10000:	0.0307137 0.0307137 0.0307293 0.0395294 0.0901109 0.0089448 
5000:	0.0307137 0.0307137 0.0307293 0.0395294 0.0901109 0.0089448 
2000:	0.0490299 0.0490299 0.0490459 0.0567128 0.1183990 0.0112759 
1000:	0.0490299 0.0490299 0.0490459 0.0567128 0.1183990 0.0112759 
500:	0.0490299 0.0490299 0.0490459 0.0567128 0.1183990 0.0112759 
200:	0.0490299 0.0490299 0.0490459 0.0567128 0.1183990 0.0112759 
100:	0.0460244 0.0460244 0.0460413 0.0542412 0.1727250 0.0148124 
50:	0.0460244 0.0460244 0.0460413 0.0542412 0.1727250 0.0148124 
20:	0.0443570 0.0443570 0.0443733 0.0535057 0.2902030 0.0284024 
10:	0.0420459 0.0420459 0.0420630 0.0508599 0.2895190 0.0384990 
