LLP with Faststep
communities-6.txt communities-500div.txt: 0.645257
communities-6.txt communities-50div.txt: 0.776034
communities-6.txt communities-5div.txt: 0.883588
communities-7.txt communities-100000div.txt: 0.169554
communities-7.txt communities-10000div.txt: 0.367358
communities-7.txt communities-1000div.txt: 0.600809
communities-7.txt communities-100div.txt: 0.739151
communities-7.txt communities-10div.txt: 0.867417
communities-7.txt communities-200000div.txt: 0.108826
communities-7.txt communities-20000div.txt: 0.301128
communities-7.txt communities-2000div.txt: 0.548159
communities-7.txt communities-200div.txt: 0.696192
communities-7.txt communities-20div.txt: 0.822977
communities-7.txt communities-500000div.txt: 0.0527896
communities-7.txt communities-50000div.txt: 0.2343
communities-7.txt communities-5000div.txt: 0.431191
communities-7.txt communities-500div.txt: 0.648949
communities-7.txt communities-50div.txt: 0.77908
communities-7.txt communities-5div.txt: 0.886126
communities-8.txt communities-100000div.txt: 0.174228
communities-8.txt communities-10000div.txt: 0.375468
communities-8.txt communities-1000div.txt: 0.607726
communities-8.txt communities-100div.txt: 0.744836
communities-8.txt communities-10div.txt: 0.872011
communities-8.txt communities-200000div.txt: 0.111506
communities-8.txt communities-20000div.txt: 0.308738
communities-8.txt communities-2000div.txt: 0.555514
communities-8.txt communities-200div.txt: 0.702261
communities-8.txt communities-20div.txt: 0.827936
communities-8.txt communities-500000div.txt: 0.0538593
communities-8.txt communities-50000div.txt: 0.240768
communities-8.txt communities-5000div.txt: 0.439254
communities-8.txt communities-500div.txt: 0.655442
communities-8.txt communities-50div.txt: 0.784414
communities-8.txt communities-5div.txt: 0.890569
communities-9.txt communities-100000div.txt: 0.182818
communities-9.txt communities-10000div.txt: 0.387905
communities-9.txt communities-1000div.txt: 0.617815
communities-9.txt communities-100div.txt: 0.753096
communities-9.txt communities-10div.txt: 0.878692
communities-9.txt communities-200000div.txt: 0.11697
communities-9.txt communities-20000div.txt: 0.320967
communities-9.txt communities-2000div.txt: 0.566287
communities-9.txt communities-200div.txt: 0.71108
communities-9.txt communities-20div.txt: 0.835147
communities-9.txt communities-500000div.txt: 0.0562705
communities-9.txt communities-50000div.txt: 0.251816
communities-9.txt communities-5000div.txt: 0.451319
communities-9.txt communities-500div.txt: 0.664889
communities-9.txt communities-50div.txt: 0.792165
communities-9.txt communities-5div.txt: 0.897034
LLP with Louvain
communities-0.txt communities-0.txt: 0.929856
communities-0.txt communities-1.txt: 0.970493
communities-0.txt communities-2.txt: 0.948045
communities-0.txt communities-3.txt: 0.875604
communities-0.txt communities-4.txt: 0.835419
communities-0.txt communities-5.txt: 0.829768
communities-1.txt communities-0.txt: 0.945667
communities-1.txt communities-1.txt: 0.985571
communities-1.txt communities-2.txt: 0.945574
